date	time	wind speed	wind direction	gusts	wave height	wave heading	dominant wave period	average wave period	sea level pressure
20220227	1650	 3.0	10	3.0	2.2	281	17	9.5	1027.2
20220227	1750	 6.0	350	7.0	2.6	291	19	10.8	1026.8
20220227	1850	 5.0	340	6.0	2.1	303	19	9.8	1027.0
20220227	1950	 6.0	350	7.0	2.3	294	17	10.4	1026.8
20220227	2050	 9.0	350	11.0	2.2	299	17	9.2	1025.9
20220227	2150	 8.0	330	10.0	2.9	302	17	10.4	1025.5
20220227	2250	 7.0	330	9.0	2.9	289	19	10.6	1024.8
20220227	2350	 7.0	320	9.0	2.7	294	17	10.2	1024.6
20220228	0050	 8.0	330	10.0	2.8	302	17	10.6	1024.5
20220228	0150	 8.0	340	9.0	2.6	297	16	9.4	1024.6
20220228	0250	 7.0	350	10.0	3.2	289	17	10.8	1024.9
20220228	0350	 5.0	360	7.0	3.0	297	17	10.8	1025.3
20220228	0450	 5.0	350	6.0	2.7	296	17	10.4	1025.3
20220228	0550	 5.0	360	6.0	2.7	290	17	10.3	1025.7
20220228	0650	 6.0	360	7.0	2.6	279	17	10.2	1025.5
20220228	0950	 6.0	360	7.0	2.7	292	17	10.5	1024.7
20220228	1050	 6.0	10	8.0	2.7	292	17	10.2	1023.6
20220228	1150	 5.0	360	6.0	2.8	292	17	9.9	1022.8
20220228	1250	 6.0	350	8.0	2.7	292	16	10.1	1022.9
20220228	1350	 5.0	350	6.0	2.9	281	16	9.7	1023.2
20220228	1450	 6.0	350	7.0	2.6	272	17	9.1	1023.5
20220228	1550	 7.0	350	9.0	2.7	286	17	9.4	1023.7
20220228	1650	 7.0	MM	9.0	2.9	278	MM	9.4	MM
20220228	1750	 7.0	330	9.0	2.7	284	16	9.3	1023.7
20220228	1850	 7.0	330	8.0	2.6	279	17	8.9	1023.8
20220228	1950	 8.0	320	10.0	2.5	294	16	8.5	1023.0
20220228	2050	 7.0	330	8.0	2.3	287	14	7.7	1021.8
20220228	2150	 7.0	320	9.0	2.6	290	16	9.0	1020.7
20220228	2250	 7.0	310	9.0	2.5	284	17	8.9	1020.3
20220228	2350	 8.0	310	9.0	2.3	296	15	8.0	1020.3
20220301	0050	 8.0	330	9.0	2.3	301	16	7.9	1020.0
20220301	0150	 9.0	330	11.0	2.6	291	16	8.4	1020.2
20220301	0250	 8.0	330	11.0	2.3	276	16	7.6	1020.6
20220301	0350	 9.0	330	10.0	2.6	292	16	8.4	1020.9
20220301	0450	 8.0	330	10.0	2.6	299	16	8.2	1021.3
20220301	0550	 7.0	330	8.0	2.5	285	13	8.2	1021.5
20220301	0650	 6.0	330	8.0	2.6	281	15	8.6	1021.5
20220301	0750	 6.0	330	7.0	2.5	286	16	8.7	1021.6
20220301	0850	 7.0	330	8.0	2.4	289	16	8.8	1021.6
20220301	0950	 9.0	320	11.0	2.6	282	16	8.7	1021.3
20220301	1050	 7.0	340	9.0	2.6	287	16	8.2	1020.7
20220301	1150	 6.0	350	7.0	2.4	287	16	8.1	1020.3
20220301	1250	 5.0	350	6.0	2.6	285	16	9.1	1020.4
20220301	1350	 4.0	10	5.0	2.8	290	16	9.8	1020.1
20220301	1350	 4.0	10	5.0	2.8	290	16	9.8	1020.1
20220301	1450	 6.0	340	7.0	2.5	295	16	9.1	1020.4
20220301	1550	 8.0	340	10.0	3.0	286	16	9.6	1020.9
20220301	1650	 8.0	340	10.0	2.9	292	15	8.6	1020.8
20220301	1750	 7.0	340	8.0	2.6	289	16	8.4	1020.9
20220301	1850	 6.0	340	8.0	2.6	295	14	8.4	1020.7
20220301	1950	 7.0	340	9.0	2.6	284	12	8.7	1020.0
20220301	2050	 8.0	310	10.0	2.7	295	14	8.8	1019.4
20220301	2150	 8.0	310	9.0	2.4	275	16	7.9	1018.8
20220301	2250	 8.0	310	10.0	2.2	293	16	7.6	1018.2
20220301	2350	 9.0	310	11.0	2.1	306	14	7.2	1018.1
20220302	0050	 8.0	330	10.0	2.4	289	15	7.6	1017.9
20220302	0150	 8.0	330	10.0	2.6	304	14	7.4	1018.4
20220302	0250	 7.0	330	9.0	2.7	299	15	7.9	1018.8
20220302	0350	 8.0	330	10.0	2.7	288	15	7.8	1018.9
20220302	0450	 8.0	330	10.0	2.8	278	15	7.9	1019.2
20220302	0550	 8.0	320	9.0	2.5	295	15	7.8	1019.4
20220302	0650	 7.0	330	9.0	2.2	284	14	7.3	1019.5
20220302	0750	 7.0	330	9.0	2.2	289	15	7.8	1019.4
20220302	0850	 7.0	330	9.0	2.4	286	14	8.1	1019.1
20220302	0950	 7.0	320	8.0	2.4	294	14	8.4	1018.4
20220302	1050	 7.0	320	8.0	2.1	283	15	7.9	1017.6
