date	time	temperature	wind speed	wind direction	pressure	humidity
20220409	121334	49.60	2.57	0	1003	63
20220409	121428	49.60	2.57	0	1003	63
20220409	122428	49.62	4.02	220	1003	62
20220409	123428	49.86	3.13	193	1003	61
20220409	124428	50.22	4.02	230	1003	61
20220409	125428	50.04	1.34	271	1003	59
20220409	130429	48.51	2.24	250	1003	72
20220409	131428	47.62	2.24	250	1003	72
20220409	132428	47.37	2.06	230	1003	74
20220409	133428	47.37	2.06	230	1003	74
20220409	134428	49.08	2.06	230	1003	71
20220409	135428	49.80	3.58	188	1002	67
20220409	140428	49.80	3.58	188	1002	67
20220409	141428	50.36	2.68	200	1003	65
20220409	142428	50.88	4.02	188	1003	64
20220409	143429	50.22	4.02	220	1003	65
20220409	144428	50.16	3.13	251	1003	65
20220409	145428	51.01	4.02	225	1002	65
20220409	150428	51.01	4.02	225	1002	65
20220409	151428	51.89	3.09	220	1002	58
20220409	152429	51.73	5.81	213	1002	55
20220409	153429	51.96	4.47	182	1002	52
20220409	154428	51.98	3.58	133	1002	53
20220409	155428	52.83	4.92	226	1001	50
20220409	160428	52.29	4.47	226	1002	52
20220409	161428	52.14	4.47	242	1002	52
20220409	162428	52.16	3.6	200	1002	53
20220409	163428	52.16	3.6	200	1002	53
20220409	164428	52.11	3.6	200	1002	54
20220409	165428	51.80	2.68	177	1002	54
20220409	170428	52.09	2.24	269	1002	53
20220409	171428	51.94	2.68	236	1002	53
20220409	172428	51.94	1.79	230	1003	53
20220409	173428	51.69	1.79	172	1002	52
20220409	174427	51.69	1.79	172	1002	52
20220409	175428	52.70	2.24	247	1002	48
20220409	180428	52.61	3.13	170	1003	50
20220409	181428	52.61	2.24	155	1003	50
20220409	182428	51.40	3.58	236	1003	53
20220409	183428	50.11	3.58	266	1003	55
20220409	184428	50.27	3.58	210	1003	54
20220409	185427	50.22	3.13	253	1002	55
20220409	190428	50.02	4.02	211	1003	55
20220409	191428	49.19	4.02	228	1003	57
20220409	192428	49.32	3.13	217	1003	56
20220409	193428	47.97	2.57	270	1004	57
20220409	194428	47.23	2.57	270	1004	57
20220409	195428	47.23	2.57	270	1004	57
20220409	200428	45.95	4.47	219	1004	61
20220409	201428	46.24	3.58	248	1004	62
20220409	202428	46.24	3.58	248	1004	62
20220409	203429	45.05	2.57	0	1004	65
20220409	204427	45.05	2.57	0	1004	65
20220409	205428	44.44	1.79	312	1005	67
20220409	210428	44.26	4.12	290	1005	68
20220409	211428	44.20	4.92	321	1005	68
20220409	212428	43.86	4.12	290	1006	69
20220409	213428	43.86	4.12	290	1006	69
20220409	214428	43.70	4.12	290	1006	69
20220409	215428	43.41	3.13	307	1006	70
20220409	220428	43.41	3.13	307	1006	70
20220409	221428	43.43	3.6	310	1006	70
20220409	222428	43.52	3.6	310	1006	70
20220409	223428	43.38	3.6	310	1006	70
20220409	224428	43.09	0.45	267	1006	72
20220409	225428	43.00	0.89	268	1006	71
20220409	230428	42.98	3.09	310	1007	71
20220409	231427	42.98	3.09	310	1007	71
20220409	232428	42.71	3.13	269	1007	71
20220409	233428	42.71	3.13	269	1007	71
20220409	234428	42.44	3.58	264	1007	70
20220409	235428	42.22	3.58	268	1006	70
20220410	000428	42.22	3.09	300	1007	70
20220410	001428	42.28	3.09	300	1007	70
20220410	002428	42.13	3.09	300	1007	69
20220410	003429	41.43	3.09	300	1007	71
20220410	004428	41.32	3.09	300	1007	71
20220410	005428	41.13	0.89	269	1006	70
20220410	010428	41.31	2.06	310	1007	66
20220410	011428	41.20	2.06	310	1007	66
20220410	012428	40.62	3.13	270	1007	66
20220410	013428	40.62	3.13	270	1007	66
20220410	014428	40.46	4.47	297	1007	64
20220410	015428	40.46	4.47	297	1007	64
20220410	020428	39.97	5.14	320	1008	61
20220410	021428	39.94	5.14	320	1008	61
20220410	022428	39.33	5.14	320	1008	60
20220410	023428	38.48	2.35	306	1010	59
20220410	024428	38.48	2.35	306	1010	59
20220410	025428	38.48	2.68	274	1007	61
20220410	030428	38.39	4.12	310	1008	61
20220410	031428	38.34	4.12	310	1008	61
20220410	032428	37.99	4.12	310	1008	61
20220410	033428	38.19	4.12	310	1008	62
20220410	034427	38.03	4.12	310	1008	62
20220410	035428	36.84	2.1	293	1008	63
20220410	040428	36.93	1.54	290	1008	63
20220410	041428	36.91	1.54	290	1008	63
20220410	042428	36.75	1.54	290	1008	64
20220410	043428	36.81	1.54	290	1008	64
20220410	044428	36.81	1.54	290	1008	64
20220410	045428	36.50	0.45	239	1007	69
20220410	050428	37.08	0	0	1010	65
20220410	051428	37.08	0	0	1010	65
20220410	052428	37.08	0	0	1010	65
20220410	053428	37.36	0	0	1010	65
20220410	054428	37.42	0	0	1010	65
20220410	055428	37.42	0	0	1010	65
20220410	060428	37.45	0	0	1010	65
20220410	061428	37.45	0	0	1010	65
20220410	062428	37.45	0	0	1010	65
20220410	063428	37.65	1.79	248	1009	67
20220410	064428	37.63	2.24	201	1009	67
20220410	065428	37.67	3.13	207	1009	68
20220410	070427	37.67	3.13	207	1009	68
20220410	071428	37.83	2.68	231	1009	68
20220410	072428	38.08	4.12	290	1010	68
20220410	073428	38.26	4.12	290	1010	68
20220410	074428	38.26	4.12	290	1010	68
20220410	075428	38.71	2.24	226	1009	69
20220410	080428	38.75	2.68	209	1010	68
20220410	081428	38.75	3.58	242	1010	68
20220410	082428	38.75	3.58	242	1010	68
20220410	083428	39.42	4.02	235	1010	68
20220410	084428	39.43	4.02	249	1010	68
20220410	085428	39.70	4.02	193	1009	69
20220410	090428	39.83	4.47	230	1010	68
20220410	091428	39.83	4.47	230	1010	68
20220410	092428	40.39	4.47	220	1010	67
20220410	093428	40.44	4.12	280	1010	66
20220410	094428	40.60	4.12	280	1010	66
20220410	095428	40.93	3.58	208	1010	67
20220410	100428	40.96	2.68	250	1010	67
20220410	101428	40.96	2.68	250	1010	67
20220410	102428	41.22	4.63	290	1011	67
20220410	103428	41.22	4.63	290	1011	67
20220410	104428	41.76	4.63	290	1011	66
20220410	105428	41.76	4.63	290	1011	66
20220410	110428	42.26	5.66	290	1011	62
20220410	111428	42.21	5.66	290	1011	62
20220410	112428	42.21	5.66	290	1011	62
20220410	113428	42.53	5.66	290	1010	64
20220410	114428	42.78	5.81	228	1010	62
20220410	115428	42.55	5.81	200	1010	64
20220410	120428	43.39	5.66	330	1011	61
20220410	121428	43.39	5.66	330	1011	61
20220410	122428	43.36	5.66	330	1011	60
20220410	123428	43.36	5.66	330	1011	60
20220410	124428	44.29	5.66	330	1010	57
20220410	125428	44.42	4.02	272	1010	54
20220410	130428	44.26	4.92	255	1010	53
20220410	131428	44.47	4.92	263	1010	54
20220410	132428	44.47	4.92	263	1010	54
20220410	133428	44.49	4.47	262	1010	51
20220410	134428	44.55	4.02	288	1010	51
20220410	135428	44.76	4.92	283	1010	49
20220410	140428	45.09	7.72	300	1011	49
20220410	141428	44.26	7.72	300	1011	50
20220410	142428	44.89	7.72	300	1011	50
20220410	143428	45.07	7.72	300	1011	50
20220410	144428	45.07	7.72	300	1011	50
20220410	145428	44.83	4.02	237	1010	48
20220410	150428	45.03	4.92	255	1011	48
20220410	151428	45.21	5.36	287	1011	47
20220410	152427	45.21	5.36	287	1011	47
20220410	153429	45.34	4.63	280	1011	48
20220410	154428	45.34	4.63	280	1011	48
20220410	155429	46.33	4.47	247	1010	47
20220410	160429	46.31	6.69	290	1011	45
20220410	161428	46.27	6.69	290	1012	46
20220410	162428	46.26	6.69	290	1012	45
20220410	163429	46.09	6.69	290	1012	45
20220410	164428	46.15	6.69	290	1012	45
20220410	165428	46.11	4.92	205	1011	45
20220410	170428	46.36	5.14	280	1012	46
20220410	171429	46.27	5.14	280	1012	46
20220410	172428	46.15	5.14	280	1012	45
20220410	173430	45.82	5.14	280	1012	46
20220410	174428	45.82	5.14	280	1012	46
20220410	175428	46.08	6.26	287	1011	48
20220410	180429	45.88	6.17	300	1012	47
20220410	181428	45.86	6.17	300	1012	47
20220410	182428	45.70	6.17	300	1012	48
20220410	183428	45.52	6.17	300	1012	48
20220410	184428	45.50	6.17	300	1012	49
20220410	185427	45.50	6.17	300	1012	49
20220410	190428	45.05	4.63	310	1013	49
20220410	191428	45.05	5.36	285	1013	49
20220410	192428	44.11	4.47	259	1013	50
20220410	193428	44.11	4.47	259	1013	50
20220410	194428	43.77	4.47	269	1013	51
20220410	195428	43.18	4.47	257	1013	52
20220410	200428	43.14	3.13	281	1013	53
20220410	201428	42.71	4.12	320	1014	53
20220410	202428	42.51	4.12	320	1014	54
20220410	203428	42.24	4.12	320	1014	54
20220410	204428	42.30	4.12	320	1015	54
20220410	205428	42.04	3.58	255	1015	55
20220410	210428	42.01	4.47	282	1016	55
20220410	211428	42.01	3.58	293	1016	55
20220410	212428	41.79	2.57	330	1016	55
20220410	213429	41.16	2.57	330	1017	56
20220410	214428	40.95	2.57	330	1017	56
20220410	215428	39.40	2.74	308	1018	55
20220410	220427	39.40	2.74	308	1018	55
20220410	221428	38.34	2.57	350	1017	62
20220410	222428	39.60	2.57	350	1016	62
20220410	223428	38.12	2.57	350	1017	63
20220410	224428	38.12	2.57	350	1017	63
20220410	225428	32.22	1.82	306	1018	79
20220410	230428	40.37	0	0	1018	56
20220410	231428	40.37	0	0	1018	56
20220410	232428	40.03	0	0	1018	56
20220410	233428	40.23	0	0	1018	56
20220410	234428	40.59	0	0	1018	56
20220410	235428	35.83	1.45	286	1018	82
20220411	000428	38.17	0	0	1018	60
20220411	001428	38.37	0	0	1018	60
20220411	002428	37.98	0	0	1018	60
20220411	003428	37.78	0	0	1018	60
20220411	004428	37.44	0	0	1018	60
20220411	005428	33.58	1.36	290	1019	84
20220411	010428	35.82	0	0	1017	69
20220411	011428	35.71	0	0	1017	69
20220411	012428	35.67	0	0	1017	70
20220411	013428	36.14	0.89	170	1017	70
20220411	014428	35.82	0	0	1017	71
20220411	015427	35.82	0	0	1017	71
20220411	020428	36.09	2.24	231	1017	68
20220411	021428	36.09	2.24	231	1017	68
20220411	022428	34.81	2.24	231	1017	74
20220411	023428	34.39	1.79	213	1017	75
20220411	024428	34.30	1.54	280	1017	75
20220411	025428	34.38	0.89	242	1017	71
20220411	030428	34.38	0.89	242	1017	71
20220411	031428	33.85	0.89	200	1018	75
20220411	032428	33.37	1.34	214	1018	77
20220411	033428	33.24	0	0	1018	77
20220411	034428	32.92	0.45	163	1018	78
20220411	035428	33.22	0.45	166	1017	75
20220411	040428	32.27	0	0	1018	79
20220411	041428	32.25	0	0	1018	79
20220411	042427	32.25	0	0	1018	79
20220411	043428	32.00	0.45	207	1019	80
20220411	044428	31.95	0.89	167	1019	80
20220411	045427	31.95	0.89	167	1019	80
20220411	050428	31.78	0	0	1019	81
20220411	051428	31.78	0	0	1019	81
20220411	052428	31.10	0.89	205	1019	82
20220411	053428	31.01	0.45	206	1019	83
20220411	054428	31.01	0.45	206	1019	83
20220411	055428	31.55	1.34	204	1019	82
20220411	060428	30.79	0.45	204	1019	85
20220411	061428	30.79	0.45	204	1019	85
20220411	062428	30.69	0.45	203	1019	86
20220411	063428	30.04	0.45	139	1019	86
20220411	064428	30.04	0.45	139	1019	86
20220411	065428	30.18	0.45	60	1019	85
20220411	070428	30.20	0.45	60	1020	86
20220411	071428	30.40	0.45	207	1020	86
20220411	072427	30.40	0.45	207	1020	86
20220411	073428	31.87	0	0	1020	86
20220411	074428	31.87	0	0	1020	86
20220411	075428	33.60	0.83	171	1019	83
20220411	080428	34.83	0	0	1020	80
20220411	081429	34.81	0	0	1020	81
20220411	082428	34.81	0	0	1020	81
20220411	083428	38.10	0.45	200	1019	75
20220411	084428	38.10	0.45	200	1019	75
20220411	085428	39.29	1.34	237	1019	73
20220411	090428	40.12	1.54	140	1020	70
20220411	091428	40.26	1.54	140	1020	70
20220411	092428	41.83	1.54	140	1020	67
20220411	093429	42.39	1.54	140	1020	67
20220411	094428	43.07	1.54	140	1020	67
20220411	095428	43.07	1.54	140	1020	67
20220411	100428	45.55	1.54	0	1019	59
20220411	101428	45.70	1.54	0	1019	59
20220411	102428	47.25	1.54	0	1019	55
20220411	103428	47.66	1.79	219	1019	55
20220411	104428	47.71	1.79	219	1019	55
20220411	105428	48.31	1.79	87	1019	53
20220411	110428	48.31	1.79	87	1019	53
20220411	111428	49.03	3.09	180	1019	51
20220411	112428	49.03	3.09	180	1019	51
20220411	113428	50.41	1.79	101	1018	51
20220411	114428	50.47	1.79	213	1018	51
20220411	115428	50.47	1.79	213	1018	51
20220411	120428	51.98	4.12	150	1019	50
20220411	121428	52.11	4.12	150	1019	50
20220411	122428	52.11	4.12	150	1019	50
20220411	123429	53.49	4.12	150	1019	48
20220411	124428	53.49	4.12	150	1019	48
20220411	125428	54.63	3.13	155	1017	46
20220411	130428	54.95	5.14	190	1018	47
20220411	131428	54.95	5.14	190	1018	47
20220411	132428	55.90	5.14	190	1017	46
20220411	133428	55.90	5.14	190	1017	46
20220411	134429	56.14	5.14	190	1017	46
20220411	135428	56.14	5.14	190	1017	46
20220411	140428	57.33	3.6	210	1017	44
20220411	141428	57.34	3.6	210	1017	44
20220411	142428	58.41	3.6	210	1016	43
20220411	143428	57.74	3.6	210	1017	43
20220411	144428	57.67	3.6	210	1016	43
20220411	145429	58.33	3.13	109	1015	42
20220411	150428	58.33	3.13	109	1015	42
20220411	151428	58.57	4.12	200	1016	42
20220411	152428	58.82	4.47	169	1016	42
20220411	153428	58.53	4.12	200	1016	43
20220411	154428	58.53	4.12	200	1016	43
20220411	155428	58.75	3.13	117	1015	44
20220411	160428	58.42	4.12	200	1016	44
20220411	161428	58.26	4.12	200	1015	44
20220411	162428	58.41	4.12	200	1015	44
20220411	163428	58.15	4.12	200	1016	45
20220411	164428	57.83	4.12	200	1016	45
20220411	165428	57.87	2.68	131	1015	48
20220411	170428	57.16	4.63	210	1015	51
20220411	171428	57.16	4.63	210	1015	51
20220411	172428	56.70	4.63	210	1015	53
20220411	173428	56.70	4.63	210	1015	53
20220411	174428	56.59	4.63	210	1015	52
20220411	175427	56.59	4.63	210	1015	52
20220411	180428	56.75	2.57	210	1015	51
20220411	181428	56.91	2.57	210	1015	51
20220411	182428	56.80	2.57	210	1015	52
20220411	183429	55.98	2.57	210	1015	53
20220411	184428	55.98	2.57	210	1015	53
20220411	185428	55.45	2.33	208	1014	58
20220411	190428	55.53	2.06	190	1015	56
20220411	191428	55.53	2.06	190	1015	56
20220411	192428	55.00	2.06	190	1015	57
20220411	193429	53.11	2.38	172	1015	65
20220411	194428	53.24	2.38	172	1015	65
20220411	195428	53.24	2.38	172	1015	65
20220411	200428	53.71	2.06	190	1015	64
20220411	201429	53.65	2.06	190	1015	65
20220411	202428	52.93	2.06	190	1016	69
20220411	203428	51.78	0.89	293	1015	73
20220411	204428	51.78	0.89	293	1015	73
20220411	205428	51.57	0.45	290	1015	74
20220411	210428	51.57	0.45	290	1015	74
20220411	211428	51.22	0.45	291	1016	75
20220411	212428	51.22	0.45	291	1016	75
20220411	213428	51.37	0	0	1016	76
20220411	214428	51.30	0	0	1016	77
20220411	215429	51.01	0.45	167	1015	77
20220411	220428	51.01	0.45	167	1015	77
20220411	221428	50.72	0.89	163	1016	77
20220411	222429	51.15	0.45	167	1016	76
20220411	223428	50.70	0.89	191	1016	79
20220411	224429	50.70	0.45	0	1016	79
20220411	225428	50.29	0.45	0	1015	82
20220411	230428	50.04	2.57	150	1016	83
20220411	231428	50.04	2.57	150	1016	83
20220411	232428	49.75	2.57	150	1015	82
20220411	233428	49.75	2.57	150	1015	82
20220411	234428	49.32	2.57	150	1015	84
20220411	235428	49.32	1.13	175	1014	82
20220412	000428	49.32	1.13	175	1014	82
20220412	001428	48.72	1.13	175	1014	84
20220412	002428	48.72	1.13	175	1014	84
20220412	003428	47.98	1.16	163	1014	86
20220412	004428	48.33	1.16	163	1014	85
20220412	005428	48.33	1.16	163	1014	85
20220412	010428	48.02	0	0	1014	85
20220412	011429	48.38	0	0	1014	85
20220412	012428	47.86	0	0	1014	85
20220412	013429	47.82	0	0	1014	86
20220412	014428	47.64	0	0	1014	86
20220412	015428	47.82	1.23	188	1013	87
20220412	020428	47.50	1.23	188	1013	86
