date	time	temperature	wind speed	wind direction	pressure	humidity
20220409	121333	55.36	0	0	1014	82
20220409	121427	55.36	0	0	1014	82
20220409	122428	56.26	0	0	1014	80
20220409	123428	57.38	0	0	1014	77
20220409	124428	57.15	0	0	1014	77
20220409	125428	58.66	0	0	1014	74
20220409	130428	59.97	1.54	0	1014	70
20220409	131428	59.97	1.54	0	1014	70
20220409	132428	61.56	1.54	0	1014	67
20220409	133428	61.56	1.54	0	1014	66
20220409	134428	61.92	1.54	0	1014	65
20220409	135428	64.80	3.96	293	1012	61
20220409	140428	65.89	2.06	290	1014	59
20220409	141428	65.70	2.06	290	1014	58
20220409	142428	65.70	2.06	290	1014	58
20220409	143428	65.62	2.06	290	1014	58
20220409	144427	66.09	2.06	290	1014	58
20220409	145428	67.69	4.52	293	1012	54
20220409	150428	67.01	4.12	330	1014	56
20220409	151428	67.01	4.12	330	1014	56
20220409	152429	67.39	4.12	330	1014	55
20220409	153429	67.53	4.12	330	1014	54
20220409	154427	67.53	4.12	330	1014	54
20220409	155428	67.75	4.74	292	1011	55
20220409	160428	67.46	8.23	280	1013	55
20220409	161428	67.66	8.23	280	1013	55
20220409	162428	67.66	8.23	280	1013	55
20220409	163428	69.22	8.23	280	1013	52
20220409	164427	69.22	8.23	280	1013	52
20220409	165428	71.08	4.74	293	1010	50
20220409	170428	71.08	4.74	293	1010	50
20220409	171428	68.38	7.2	300	1012	54
20220409	172428	68.14	7.2	300	1012	53
20220409	173428	69.08	7.2	300	1012	51
20220409	174427	69.21	7.2	300	1012	51
20220409	175428	70.12	3.95	295	1010	51
20220409	180428	70.66	9.26	310	1012	50
20220409	181428	70.77	9.26	310	1012	50
20220409	182428	70.41	9.26	310	1012	50
20220409	183428	71.15	9.26	310	1012	48
20220409	184428	70.97	9.26	310	1012	48
20220409	185427	70.97	9.26	310	1012	48
20220409	190428	70.81	9.77	290	1012	48
20220409	191428	70.83	9.77	290	1012	48
20220409	192428	70.86	9.77	290	1012	48
20220409	193428	70.86	9.77	290	1012	48
20220409	194428	69.35	9.77	290	1012	49
20220409	195428	71.69	5.43	334	1009	46
20220409	200428	69.44	9.26	290	1011	48
20220409	201428	69.48	9.26	290	1011	48
20220409	202428	69.48	9.26	290	1011	48
20220409	203428	69.33	9.26	290	1011	47
20220409	204427	69.42	9.26	290	1011	47
20220409	205428	70.21	4.58	332	1010	47
20220409	210428	70.21	4.58	332	1010	47
20220409	211428	66.72	11.32	290	1011	52
20220409	212428	65.35	11.32	290	1011	54
20220409	213428	61.45	11.32	290	1011	60
20220409	214428	61.39	11.32	290	1011	60
20220409	215428	61.68	4.27	318	1010	59
20220409	220428	61.68	4.27	318	1010	59
20220409	221428	60.26	9.26	290	1011	61
20220409	222428	59.65	9.26	290	1011	61
20220409	223428	57.52	9.26	290	1011	66
20220409	224428	57.61	9.26	290	1011	66
20220409	225427	57.09	2.81	334	1011	67
20220409	230428	55.54	6.17	290	1012	70
20220409	231427	55.54	6.17	290	1012	70
20220409	232428	54.52	6.17	290	1012	72
20220409	233428	54.25	6.17	290	1012	73
20220409	234428	54.25	6.17	290	1012	73
20220409	235428	53.91	2.49	348	1011	74
20220410	000428	53.91	2.49	348	1011	74
20220410	001428	52.20	2.57	330	1012	77
20220410	002428	51.87	2.57	330	1012	80
20220410	003428	50.99	2.57	330	1012	80
20220410	004428	51.01	2.57	330	1012	80
20220410	005428	51.51	2.59	1	1011	81
20220410	010428	51.53	2.58	0	1011	80
20220410	011428	50.09	0	0	1013	82
20220410	012428	50.09	0	0	1013	82
20220410	013428	50.09	0	0	1013	82
20220410	014428	50.07	0	0	1013	82
20220410	015428	50.07	0	0	1013	82
20220410	020428	50.20	1.54	150	1013	82
20220410	021428	50.20	1.54	150	1013	81
20220410	022428	50.20	1.54	150	1013	81
20220410	023428	50.86	1.54	150	1013	81
20220410	024428	50.86	1.54	150	1013	81
20220410	025428	57.22	2.71	9	1011	27
20220410	030428	52.74	1.54	280	1013	60
20220410	031428	52.97	1.54	280	1013	60
20220410	032428	48.16	1.54	280	1013	81
20220410	033428	48.15	1.54	280	1013	81
20220410	034427	48.15	1.54	280	1013	81
20220410	035428	57.42	2.78	10	1011	22
20220410	040428	49.41	0	0	1012	81
20220410	041428	53.17	0	0	1012	59
20220410	042427	53.53	0	0	1012	59
20220410	043428	53.08	0	0	1012	57
20220410	044428	53.08	0	0	1012	57
20220410	045428	56.37	3.1	19	1011	34
20220410	050428	52.45	0	0	1012	57
20220410	051428	52.43	0	0	1012	56
20220410	052427	52.43	0	0	1012	56
20220410	053428	49.57	0	0	1012	74
20220410	054428	49.15	0	0	1012	83
20220410	055428	51.31	2.75	14	1011	68
20220410	060428	47.55	0	0	1012	87
20220410	061428	47.55	0	0	1012	87
20220410	062428	47.55	0	0	1012	87
20220410	063428	48.63	0	0	1012	78
20220410	064427	48.63	0	0	1012	78
20220410	065428	50.85	2.9	5	1011	66
20220410	070427	50.85	2.9	5	1011	66
20220410	071428	50.94	0	0	1012	59
20220410	072428	50.99	0	0	1012	58
20220410	073428	50.07	0	0	1012	60
20220410	074428	50.43	0	0	1012	60
20220410	075428	52.12	2.65	13	1011	52
20220410	080428	50.11	2.57	290	1012	63
20220410	081428	50.11	2.57	290	1012	63
20220410	082428	50.29	2.57	290	1012	62
20220410	083428	50.86	2.57	290	1012	61
20220410	084427	50.86	2.57	290	1012	61
20220410	085428	51.66	2.52	16	1011	51
20220410	090428	51.66	2.52	16	1011	51
20220410	091428	50.92	2.06	290	1012	57
20220410	092428	50.34	2.06	290	1012	59
20220410	093428	50.85	2.06	290	1012	59
20220410	094428	51.53	2.06	290	1012	57
20220410	095428	51.67	2.39	35	1012	48
20220410	100428	49.77	1.54	170	1012	57
20220410	101428	49.93	1.54	170	1012	57
20220410	102428	50.83	1.54	170	1012	57
20220410	103428	53.28	1.54	170	1012	51
20220410	104428	54.19	1.54	170	1012	52
20220410	105428	57.43	2.23	29	1012	40
20220410	110427	57.22	2.06	310	1013	49
20220410	111428	57.36	2.06	310	1013	49
20220410	112428	57.36	2.06	310	1013	49
20220410	113427	59.97	2.06	310	1013	42
20220410	114428	61.43	2.06	310	1013	40
20220410	115427	61.43	2.06	310	1013	40
20220410	120428	64.92	2.57	300	1013	34
20220410	121428	64.98	2.57	300	1013	34
20220410	122428	64.56	2.57	300	1013	37
20220410	123428	64.56	2.57	300	1013	37
