date	time	stream flow	gage height
20220421	1720	0.00	1590
20220421	1820	0.00	1590
20220421	1920	0.00	1580
20220421	2020	0.00	1580
20220421	2120	0.00	1580
20220421	2220	0.00	1600
20220421	2320	0.00	1620
20220422	0020	0.00	1660
20220422	0120	0.00	1730
20220422	0220	0.00	1810
20220422	0320	0.00	1890
20220422	0420	0.00	1950
20220422	0520	0.00	1980
20220422	0620	0.00	2020
20220422	0720	0.00	2030
20220422	0820	0.00	2050
20220422	0920	0.00	2040
20220422	1020	0.00	2050
20220422	1120	0.00	2040
20220422	1220	0.00	2040
20220422	1320	0.00	2020
20220422	1420	0.00	2010
20220422	1520	0.00	1980
20220422	1620	0.00	1970
20220422	1720	0.00	1950
20220422	1820	0.00	1920
20220422	1920	0.00	1910
20220422	2020	0.00	1900
20220422	2120	0.00	1880
20220422	2220	0.00	1860
20220422	2320	0.00	1850
20220423	0020	0.00	1840
20220423	0120	0.00	1830
20220423	0220	0.00	1830
20220423	0320	0.00	1830
20220423	0420	0.00	1830
20220423	0520	0.00	1820
20220423	0620	0.00	1820
20220423	0720	0.00	1820
20220423	0820	0.00	1800
20220423	0920	0.00	1790
20220423	1020	0.00	1770
20220423	1120	0.00	1760
20220423	1220	0.00	1750
20220423	1320	0.00	1730
20220423	1420	0.00	1730
20220423	1520	0.00	1710
20220423	1620	0.00	1690
20220423	1720	0.00	1680
20220423	1820	0.00	1660
20220423	1920	0.00	1650
20220423	2020	0.00	1640
20220423	2120	0.00	1630
20220423	2220	0.00	1610
20220423	2320	0.00	1600
20220424	0020	0.00	1590
20220424	0120	0.00	1580
20220424	0220	0.00	1560
20220424	0320	0.00	1550
20220424	0420	0.00	1540
20220424	0520	0.00	1530
20220424	0620	0.00	1520
20220424	0720	0.00	1510
20220424	0820	0.00	1500
20220424	0920	0.00	1480
20220424	1020	0.00	1470
20220424	1120	0.00	1460
20220424	1220	0.00	1460
20220424	1320	0.00	1450
20220424	1420	0.00	1440
20220424	1520	0.00	1430
20220424	1620	0.00	1420
20220424	1720	0.00	1410
20220424	1820	0.00	1400
20220424	1920	0.00	1400
20220424	2020	0.00	1390
20220424	2120	0.00	1380
20220424	2220	0.00	1360
20220424	2320	0.00	1360
20220425	0020	0.00	1350
20220425	0120	0.00	1340
20220425	0220	0.00	1330
20220425	0320	0.00	1320
20220425	0420	0.00	1310
20220425	0520	0.00	1300
20220425	0620	0.00	1290
20220425	0720	0.00	1280
20220425	0820	0.00	1270
20220425	0920	0.00	1260
20220425	1020	0.00	1250
20220425	1120	0.00	1250
20220425	1220	0.00	1250
20220425	1320	0.00	1240
20220425	1420	0.00	1230
20220425	1520	0.00	1220
20220425	1620	0.00	1210
20220425	1720	0.00	1210
20220425	1820	0.00	1200
20220425	1920	0.00	1190
20220425	2020	0.00	1180
20220425	2120	0.00	1180
20220425	2220	0.00	1170
20220425	2320	0.00	1160
20220426	0020	0.00	1160
20220426	0120	0.00	1160
20220426	0220	0.00	1150
20220426	0320	0.00	1150
20220426	0420	0.00	1140
20220426	0520	0.00	1130
20220426	0620	0.00	1130
20220426	0720	0.00	1110
20220426	0820	0.00	1110
20220426	0920	0.01	1100
20220426	1020	0.00	1100
20220426	1120	0.00	1090
20220426	1220	0.00	1090
20220426	1320	0.00	1090
20220426	1420	0.00	1090
20220426	1520	0.00	1090
20220426	1620	0.00	1090
