date	time	stream flow	gage height
20220219	1700	1430	4.59
20220219	1800	1390	4.54
20220219	1900	1360	4.49
20220219	2000	1320	4.43
20220219	2100	1280	4.37
20220219	2200	1230	4.30
20220219	2300	1190	4.24
20220220	0000	1160	4.19
20220220	0100	1130	4.14
20220220	0200	1110	4.11
20220220	0300	1080	4.07
20220220	0400	1050	4.02
20220220	0500	1020	3.98
20220220	0600	998	3.94
20220220	0700	973	3.90
20220220	0800	943	3.85
20220220	0900	913	3.80
20220220	1000	901	3.78
20220220	1100	889	3.76
20220220	1200	871	3.73
20220220	1300	865	3.72
20220220	1400	860	3.71
20220220	1500	865	3.72
20220220	1600	877	3.74
20220220	1700	883	3.75
20220220	1800	883	3.75
20220220	1900	883	3.75
20220220	2000	865	3.72
20220220	2100	848	3.69
20220220	2200	837	3.67
20220220	2300	819	3.64
20220221	0000	808	3.62
20220221	0100	791	3.59
20220221	0200	780	3.57
20220221	0300	763	3.54
20220221	0400	752	3.52
20220221	0500	741	3.50
20220221	0600	731	3.48
20220221	0700	715	3.45
20220221	0800	704	3.43
20220221	0900	693	3.41
20220221	1000	683	3.39
20220221	1100	678	3.38
20220221	1200	662	3.35
20220221	1300	657	3.34
20220221	1400	657	3.34
20220221	1500	657	3.34
20220221	1600	657	3.34
20220221	1700	662	3.35
20220221	1800	667	3.36
20220221	1900	667	3.36
20220221	2000	667	3.36
20220221	2100	667	3.36
20220221	2200	672	3.37
20220221	2300	678	3.38
20220222	0000	683	3.39
20220222	0100	683	3.39
20220222	0200	672	3.37
20220222	0300	667	3.36
20220222	0400	652	3.33
20220222	0500	647	3.32
20220222	0600	636	3.30
20220222	0700	621	3.27
20220222	0800	616	3.26
20220222	0900	606	3.24
20220222	1000	601	3.23
20220222	1100	596	3.22
20220222	1200	587	3.20
20220222	1300	587	3.20
20220222	1400	582	3.19
20220222	1500	587	3.20
20220222	1600	601	3.23
20220222	1700	636	3.30
20220222	1800	699	3.42
20220222	1900	802	3.61
20220222	2000	986	3.92
20220222	2100	1450	4.62
20220222	2200	2030	5.38
20220222	2300	2370	5.79
20220223	0000	2510	5.94
20220223	0100	2520	5.95
20220223	0200	2500	5.93
20220223	0300	2470	5.90
20220223	0400	2440	5.86
20220223	0500	2400	5.82
20220223	0600	2370	5.79
20220223	0700	2350	5.76
20220223	0800	2350	5.76
20220223	0900	2330	5.74
20220223	1000	2310	5.72
20220223	1100	2290	5.69
20220223	1200	2260	5.66
20220223	1300	2290	5.69
20220223	1400	2320	5.73
20220223	1500	2440	5.86
20220223	1600	2530	5.97
20220223	1700	2590	6.03
20220223	1800	2630	6.08
20220223	1900	2590	6.03
20220223	2000	2530	5.96
20220223	2100	2420	5.84
20220223	2200	2320	5.73
20220223	2300	2230	5.62
20220224	0000	2130	5.51
20220224	0100	2050	5.41
20220224	0200	1980	5.32
20220224	0300	1910	5.24
20220224	0400	1850	5.16
20220224	0500	1800	5.09
20220224	0600	1730	5.01
20220224	0700	1700	4.96
20220224	0800	1640	4.88
20220224	0900	1600	4.83
20220224	1000	1560	4.78
20220224	1100	1510	4.71
20220224	1200	1480	4.67
20220224	1300	1450	4.62
20220224	1400	1420	4.58
20220224	1500	1380	4.53
20220224	1600	1360	4.50
20220224	1700	1340	4.47
20220224	1800	1320	4.43
20220224	1900	1300	4.41
20220224	2000	1280	4.37
20220224	2100	1250	4.33
20220224	2200	1240	4.31
20220224	2300	1210	4.27
20220225	0000	1200	4.25
20220225	0100	1180	4.23
20220225	0200	1170	4.21
20220225	0300	1160	4.20
20220225	0400	1160	4.20
20220225	0500	1160	4.20
20220225	0600	1180	4.22
20220225	0700	1160	4.20
20220225	0800	1150	4.18
20220225	0900	1120	4.13
20220225	1000	1090	4.08
20220225	1100	1060	4.04
20220225	1200	1040	4.00
20220225	1300	1020	3.98
20220225	1400	1000	3.95
20220225	1500	992	3.93
20220225	1600	973	3.90
20220225	1700	961	3.88
20220225	1800	949	3.86
20220225	1900	937	3.84
20220225	2000	925	3.82
20220225	2100	907	3.79
20220225	2200	889	3.76
20220225	2300	877	3.74
20220226	0000	865	3.72
20220226	0100	842	3.68
20220226	0200	831	3.66
20220226	0300	819	3.64
20220226	0400	802	3.61
20220226	0500	797	3.60
20220226	0600	780	3.57
20220226	0700	769	3.55
20220226	0800	758	3.53
20220226	0900	747	3.51
20220226	1000	731	3.48
20220226	1100	731	3.48
20220226	1200	720	3.46
20220226	1300	709	3.44
20220226	1400	699	3.42
20220226	1500	693	3.41
20220226	1600	688	3.40
20220226	1700	683	3.39
20220226	1800	678	3.38
20220226	1900	672	3.37
20220226	2000	672	3.37
20220226	2100	662	3.35
20220226	2200	662	3.35
20220226	2300	652	3.33
20220227	0000	647	3.32
20220227	0100	636	3.30
20220227	0200	631	3.29
20220227	0300	626	3.28
20220227	0400	621	3.27
20220227	0500	611	3.25
20220227	0600	606	3.24
20220227	0700	601	3.23
20220227	0800	591	3.21
20220227	0900	582	3.19
20220227	1000	572	3.17
20220227	1100	572	3.17
20220227	1200	562	3.15
20220227	1300	558	3.14
20220227	1400	548	3.12
20220227	1500	553	3.13
20220227	1600	562	3.15
20220227	1700	567	3.16
20220227	1800	572	3.17
20220227	1900	572	3.17
20220227	2000	572	3.17
20220227	2100	567	3.16
20220227	2200	567	3.16
20220227	2300	567	3.16
20220228	0000	562	3.15
20220228	0100	558	3.14
20220228	0200	548	3.12
20220228	0300	543	3.11
20220228	0400	539	3.10
20220228	0500	529	3.08
20220228	0600	525	3.07
20220228	0701	515	3.05
20220228	0800	511	3.04
20220228	0900	502	3.02
20220228	1000	492	3.00
20220228	1100	488	2.99
20220228	1200	484	2.98
20220228	1300	475	2.96
20220228	1400	466	2.94
20220228	1500	461	2.93
20220228	1600	461	2.93
20220228	1700	457	2.92
