date	time	stream flow	gage height
20220219	1700	2000	4.77
20220219	1800	1970	4.74
20220219	1900	1950	4.72
20220219	2000	1920	4.69
20220219	2100	1890	4.66
20220219	2200	1860	4.63
20220219	2300	1850	4.62
20220220	0000	1820	4.59
20220220	0100	1790	4.56
20220220	0200	1760	4.53
20220220	0300	1760	4.53
20220220	0400	1720	4.48
20220220	0500	1690	4.45
20220220	0600	1670	4.43
20220220	0700	1650	4.41
20220220	0800	1630	4.39
20220220	0900	1600	4.36
20220220	1000	1580	4.33
20220220	1100	1570	4.32
20220220	1200	1540	4.29
20220220	1300	1520	4.27
20220220	1400	1510	4.25
20220220	1500	1490	4.23
20220220	1600	1480	4.22
20220220	1700	1460	4.20
20220220	1800	1460	4.19
20220220	1900	1450	4.18
20220220	2000	1420	4.15
20220220	2100	1410	4.14
20220220	2200	1400	4.12
20220220	2300	1400	4.12
20220221	0000	1380	4.10
20220221	0100	1360	4.08
20220221	0200	1370	4.09
20220221	0300	1380	4.10
20220221	0400	1360	4.08
20220221	0500	1350	4.07
20220221	0600	1340	4.05
20220221	0700	1340	4.05
20220221	0800	1310	4.02
20220221	0900	1310	4.01
20220221	1000	1300	4.00
20220221	1100	1280	3.98
20220221	1200	1270	3.97
20220221	1300	1270	3.97
20220221	1400	1270	3.96
20220221	1500	1260	3.95
20220221	1600	1240	3.93
20220221	1700	1230	3.92
20220221	1800	1230	3.92
20220221	1900	1230	3.91
20220221	2000	1210	3.89
20220221	2100	1210	3.89
20220221	2200	1200	3.88
20220221	2300	1190	3.86
20220222	0000	1190	3.86
20220222	0100	1180	3.85
20220222	0200	1170	3.84
20220222	0300	1170	3.84
20220222	0400	1160	3.83
20220222	0500	1160	3.83
20220222	0600	1160	3.83
20220222	0700	1160	3.82
20220222	0800	1150	3.81
20220222	0900	1140	3.80
20220222	1000	1130	3.79
20220222	1100	1120	3.77
20220222	1200	1110	3.76
20220222	1300	1100	3.75
20220222	1400	1100	3.74
20220222	1500	1100	3.74
20220222	1600	1100	3.74
20220222	1700	1100	3.74
20220222	1800	1130	3.78
20220222	1900	1160	3.83
20220222	2000	1200	3.88
20220222	2100	1230	3.91
20220222	2200	1250	3.94
20220222	2300	1270	3.96
20220223	0000	1270	3.97
20220223	0100	1270	3.97
20220223	0200	1270	3.96
20220223	0300	1270	3.97
20220223	0400	1280	3.98
20220223	0500	1300	4.00
20220223	0600	1330	4.04
20220223	0700	1350	4.06
20220223	0800	1360	4.08
20220223	0900	1380	4.10
20220223	1000	1390	4.11
20220223	1100	1400	4.12
20220223	1200	1400	4.12
20220223	1300	1390	4.11
20220223	1400	1380	4.10
20220223	1500	1370	4.09
20220223	1600	1350	4.07
20220223	1700	1340	4.05
20220223	1800	1330	4.04
20220223	1900	1310	4.02
20220223	2000	1310	4.02
20220223	2100	1290	3.99
20220223	2200	1270	3.97
20220223	2300	1270	3.96
20220224	0000	1250	3.94
20220224	0100	1240	3.93
20220224	0200	1230	3.92
20220224	0300	1220	3.90
20220224	0400	1200	3.88
20220224	0500	1200	3.88
20220224	0600	1190	3.86
20220224	0700	1180	3.85
20220224	0800	1160	3.83
20220224	0900	1160	3.82
20220224	1000	1140	3.80
20220224	1100	1130	3.79
20220224	1200	1100	3.75
20220224	1300	1100	3.75
20220224	1400	1100	3.74
20220224	1500	1080	3.72
20220224	1600	1070	3.70
20220224	1700	1060	3.69
20220224	1800	1050	3.68
20220224	1900	1050	3.68
20220224	2000	1050	3.67
20220224	2100	1030	3.65
20220224	2200	1030	3.64
20220224	2300	1020	3.63
20220225	0000	1020	3.63
20220225	0100	1010	3.62
20220225	0200	1010	3.62
20220225	0300	1020	3.63
20220225	0400	1030	3.64
20220225	0500	1030	3.65
20220225	0600	1030	3.65
20220225	0700	1050	3.68
20220225	0800	1060	3.69
20220225	0900	1070	3.70
20220225	1000	1080	3.71
20220225	1100	1080	3.71
20220225	1200	1080	3.71
20220225	1300	1080	3.71
20220225	1400	1090	3.73
20220225	1500	1100	3.74
20220225	1600	1100	3.75
20220225	1700	1120	3.77
20220225	1800	1130	3.78
20220225	1900	1120	3.77
20220225	2000	1100	3.75
20220225	2100	1100	3.74
20220225	2200	1080	3.72
20220225	2300	1070	3.70
20220226	0000	1050	3.68
20220226	0100	1050	3.67
20220226	0200	1030	3.65
20220226	0300	1030	3.64
20220226	0400	1020	3.63
20220226	0500	1020	3.63
20220226	0600	1000	3.61
20220226	0700	990	3.59
20220226	0800	990	3.59
20220226	0900	969	3.56
20220226	1000	963	3.55
20220226	1100	956	3.54
20220226	1200	942	3.52
20220226	1300	949	3.53
20220226	1400	942	3.52
20220226	1500	929	3.50
20220226	1600	929	3.50
20220226	1700	922	3.49
20220226	1800	922	3.49
20220226	1900	922	3.49
20220226	2000	915	3.48
20220226	2100	915	3.48
20220226	2200	909	3.47
20220226	2300	895	3.45
20220227	0000	895	3.45
20220227	0100	889	3.44
20220227	0200	882	3.43
20220227	0300	869	3.41
20220227	0400	863	3.40
20220227	0500	863	3.40
20220227	0600	857	3.39
20220227	0700	850	3.38
20220227	0800	850	3.38
20220227	0900	844	3.37
20220227	1000	837	3.36
20220227	1100	837	3.36
20220227	1200	831	3.35
20220227	1300	844	3.37
20220227	1400	831	3.35
20220227	1500	831	3.35
20220227	1600	831	3.35
20220227	1700	844	3.37
