date	time	stream flow	gage height
20220219	1700	0.00	50.4
20220219	1800	0.00	48.4
20220219	1900	0.00	48.4
20220219	2000	0.00	48.4
20220219	2100	0.00	48.4
20220219	2200	0.00	48.4
20220219	2300	0.00	48.4
20220220	0000	0.00	48.4
20220220	0100	0.00	48.4
20220220	0200	0.00	48.4
20220220	0300	0.00	48.4
20220220	0400	0.00	46.3
20220220	0500	0.00	46.3
20220220	0600	0.00	46.3
20220220	0700	0.00	46.3
20220220	0800	0.00	46.3
20220220	0900	0.00	46.3
20220220	1000	0.00	46.3
20220220	1100	0.00	46.3
20220220	1200	0.00	46.3
20220220	1300	0.00	46.3
20220220	1400	0.00	44.3
20220220	1500	0.00	44.3
20220220	1600	0.00	44.3
20220220	1700	0.00	44.3
20220220	1800	0.00	44.3
20220220	1900	0.00	44.3
20220220	2000	0.00	44.3
20220220	2100	0.00	44.3
20220220	2200	0.00	44.3
20220220	2300	0.00	44.3
20220221	0000	0.00	44.3
20220221	0100	0.00	44.3
20220221	0200	0.00	44.3
20220221	0300	0.00	44.3
20220221	0400	0.00	44.3
20220221	0500	0.00	44.3
20220221	0600	0.00	44.3
20220221	0700	0.00	44.3
20220221	0800	0.00	44.3
20220221	0900	0.00	44.3
20220221	1001	0.00	44.3
20220221	1100	0.00	44.3
20220221	1200	0.00	44.3
20220221	1300	0.00	44.3
20220221	1400	0.00	44.3
20220221	1500	0.00	44.3
20220221	1600	0.00	44.3
20220221	1700	0.00	44.3
20220221	1800	0.00	44.3
20220221	1900	0.01	44.3
20220221	2000	0.00	44.3
20220221	2100	0.00	44.3
20220221	2200	0.00	44.3
20220221	2300	0.00	44.3
20220222	0000	0.00	44.3
20220222	0100	0.00	44.3
20220222	0200	0.00	44.3
20220222	0300	0.00	44.3
20220222	0400	0.00	44.3
20220222	0500	0.00	44.3
20220222	0600	0.00	44.3
20220222	0700	0.00	44.3
20220222	0800	0.00	44.3
20220222	0900	0.00	44.3
20220222	1000	0.00	44.3
20220222	1100	0.00	44.3
20220222	1200	0.00	44.3
20220222	1300	0.00	44.3
20220222	1400	0.00	44.3
20220222	1500	0.00	44.3
20220222	1600	0.00	44.3
20220222	1700	0.00	44.3
20220222	1800	0.00	44.3
20220222	1900	0.00	44.3
20220222	2000	0.00	44.3
20220222	2100	0.00	44.3
20220222	2200	0.00	44.3
20220222	2300	0.00	44.3
20220223	0000	0.00	44.3
20220223	0100	0.00	44.3
20220223	0200	0.00	46.3
20220223	0300	0.00	46.3
20220223	0400	0.00	46.3
20220223	0500	0.00	46.3
20220223	0600	0.00	46.3
20220223	0700	0.05	46.3
20220223	0800	0.03	50.4
20220223	0900	0.15	65.5
20220223	1000	0.04	286
20220223	1100	0.00	753
20220223	1200	0.00	982
20220223	1300	0.00	867
20220223	1400	0.00	683
20220223	1500	0.00	553
20220223	1600	0.00	440
20220223	1700	0.00	371
20220223	1800	0.00	318
20220223	1900	0.00	273
20220223	2000	0.00	248
20220223	2100	0.00	227
20220223	2200	0.00	212
20220223	2300	0.00	195
20220224	0000	0.00	178
20220224	0100	0.00	164
20220224	0200	0.00	153
20220224	0300	0.00	145
20220224	0400	0.00	137
20220224	0501	0.00	129
20220224	0600	0.00	123
20220224	0700	0.00	116
20220224	0800	0.00	111
20220224	0900	0.00	108
20220224	1000	0.00	103
20220224	1100	0.00	101
20220224	1200	0.00	95.8
20220224	1300	0.00	93.4
20220224	1400	0.00	91.0
20220224	1500	0.00	91.0
20220224	1600	0.00	88.6
20220224	1700	0.00	86.2
20220224	1800	0.00	86.2
20220224	1900	0.00	83.8
20220224	2000	0.00	81.5
20220224	2100	0.00	81.5
20220224	2200	0.00	79.1
20220224	2300	0.00	79.1
20220225	0000	0.00	79.1
20220225	0100	0.00	79.1
20220225	0201	0.00	76.8
20220225	0300	0.00	74.5
20220225	0400	0.00	72.2
20220225	0500	0.00	72.2
20220225	0600	0.00	70.0
20220225	0701	0.00	70.0
20220225	0800	0.00	67.7
20220225	0900	0.00	67.7
20220225	1000	0.00	67.7
20220225	1100	0.00	65.5
20220225	1200	0.00	65.5
20220225	1300	0.00	65.5
20220225	1400	0.00	65.5
20220225	1500	0.00	65.5
20220225	1600	0.00	65.5
20220225	1700	0.00	63.3
20220225	1800	0.00	63.3
20220225	1900	0.00	63.3
20220225	2000	0.00	61.1
20220225	2100	0.00	61.1
20220225	2200	0.00	61.1
20220225	2300	0.00	61.1
20220226	0000	0.00	61.1
20220226	0100	0.00	61.1
20220226	0200	0.00	58.9
20220226	0300	0.00	58.9
20220226	0400	0.00	56.8
20220226	0500	0.00	56.8
20220226	0600	0.00	56.8
20220226	0700	0.00	56.8
20220226	0800	0.00	56.8
20220226	0900	0.00	54.6
20220226	1000	0.00	54.6
20220226	1100	0.00	54.6
20220226	1200	0.00	52.5
20220226	1300	0.00	52.5
20220226	1400	0.00	52.5
20220226	1500	0.00	52.5
20220226	1600	0.00	52.5
20220226	1700	0.00	52.5
20220226	1800	0.00	52.5
20220226	1900	0.00	52.5
20220226	2000	0.00	52.5
20220226	2100	0.00	52.5
20220226	2200	0.00	52.5
20220226	2300	0.00	52.5
20220227	0000	0.00	52.5
20220227	0100	0.00	52.5
20220227	0200	0.00	52.5
20220227	0300	0.00	52.5
20220227	0400	0.00	52.5
20220227	0500	0.00	52.5
20220227	0600	0.00	54.6
20220227	0700	0.00	58.9
20220227	0800	0.02	70.0
20220227	0900	0.00	86.2
20220227	1000	0.01	98.2
20220227	1100	0.01	113
20220227	1200	0.02	118
20220227	1300	0.00	121
20220227	1400	0.00	147
20220227	1500	0.00	166
20220227	1600	0.00	164
20220227	1700	0.00	150
20220227	1800	0.00	134
20220227	1900	0.00	123
20220227	2000	0.00	113
20220227	2100	0.00	106
20220227	2200	0.00	101
20220227	2300	0.00	95.8
20220228	0000	0.00	91.0
20220228	0100	0.00	88.6
20220228	0200	0.00	86.2
20220228	0300	0.00	81.5
20220228	0400	0.00	81.5
20220228	0500	0.00	79.1
20220228	0600	0.00	79.1
20220228	0701	0.00	74.5
20220228	0800	0.00	72.2
20220228	0900	0.00	70.0
20220228	1000	0.00	67.7
20220228	1100	0.00	67.7
20220228	1200	0.00	65.5
20220228	1300	0.00	65.5
20220228	1400	0.00	63.3
20220228	1500	0.00	63.3
20220228	1600	0.00	63.3
20220228	1700	0.00	61.1
20220228	1800	0.00	61.1
20220228	1900	0.00	61.1
20220228	2000	0.00	61.1
20220228	2100	0.00	61.1
20220228	2200	0.00	61.1
20220228	2300	0.00	61.1
20220301	0000	0.00	61.1
20220301	0100	0.00	58.9
20220301	0200	0.00	58.9
20220301	0300	0.00	58.9
20220301	0400	0.00	56.8
20220301	0500	0.00	56.8
20220301	0600	0.00	56.8
20220301	0700	0.00	56.8
20220301	0800	0.00	56.8
20220301	0900	0.00	54.6
20220301	1000	0.00	54.6
20220301	1100	0.00	54.6
20220301	1200	0.00	54.6
20220301	1300	0.00	52.5
20220301	1400	0.00	52.5
20220301	1500	0.00	52.5
20220301	1600	0.00	52.5
20220301	1700	0.00	52.5
20220301	1801	0.00	54.6
20220301	1900	0.00	54.6
20220301	2000	0.00	54.6
20220301	2100	0.00	52.5
20220301	2200	0.00	52.5
20220301	2300	0.00	54.6
20220302	0000	0.00	54.6
20220302	0100	0.00	52.5
20220302	0200	0.00	52.5
20220302	0300	0.00	52.5
20220302	0400	0.00	52.5
20220302	0500	0.00	52.5
20220302	0600	0.00	52.5
20220302	0700	0.00	52.5
20220302	0800	0.00	52.5
20220302	0900	0.00	52.5
20220302	1000	0.00	52.5
20220302	1100	0.00	50.4
20220302	1200	0.00	52.5
20220302	1300	0.00	52.5
20220302	1400	0.00	50.4
20220302	1500	0.00	50.4
20220302	1600	0.00	50.4
20220302	1700	0.00	50.4
20220302	1800	0.00	50.4
20220302	1900	0.00	50.4
20220302	2000	0.00	50.4
