date	time	stream flow	gage height
20220219	1700	1660	8.83
20220219	1800	1600	8.76
20220219	1900	1560	8.72
20220219	2000	1510	8.66
20220219	2100	1450	8.60
20220219	2200	1400	8.54
20220219	2300	1320	8.45
20220220	0000	1270	8.38
20220220	0100	1210	8.31
20220220	0200	1160	8.25
20220220	0300	1120	8.20
20220220	0400	1090	8.15
20220220	0500	1060	8.11
20220220	0600	1020	8.06
20220220	0700	982	8.01
20220220	0800	952	7.97
20220220	0900	923	7.93
20220220	1000	895	7.89
20220220	1100	874	7.86
20220220	1200	881	7.87
20220220	1300	895	7.89
20220220	1400	938	7.95
20220220	1500	960	7.98
20220220	1600	989	8.02
20220220	1700	1010	8.05
20220220	1800	1020	8.06
20220220	1900	1030	8.07
20220220	2000	997	8.03
20220220	2100	967	7.99
20220220	2200	938	7.95
20220220	2300	916	7.92
20220221	0000	881	7.87
20220221	0100	846	7.82
20220221	0200	826	7.79
20220221	0300	813	7.77
20220221	0400	793	7.74
20220221	0500	773	7.71
20220221	0600	760	7.69
20220221	0700	741	7.66
20220221	0800	728	7.64
20220221	0900	716	7.62
20220221	1000	709	7.61
20220221	1100	703	7.60
20220221	1200	709	7.61
20220221	1300	709	7.61
20220221	1400	734	7.65
20220221	1500	734	7.65
20220221	1600	722	7.63
20220221	1700	728	7.64
20220221	1800	728	7.64
20220221	1900	741	7.66
20220221	2000	754	7.68
20220221	2100	754	7.68
20220221	2200	773	7.71
20220221	2300	779	7.72
20220222	0000	786	7.73
20220222	0100	779	7.72
20220222	0200	786	7.73
20220222	0300	779	7.72
20220222	0400	766	7.70
20220222	0500	754	7.68
20220222	0600	741	7.66
20220222	0700	728	7.64
20220222	0800	709	7.61
20220222	0900	703	7.60
20220222	1000	691	7.58
20220222	1100	685	7.57
20220222	1200	679	7.56
20220222	1300	673	7.55
20220222	1400	679	7.56
20220222	1500	703	7.60
20220222	1600	741	7.66
20220222	1700	786	7.73
20220222	1800	874	7.86
20220222	1900	1030	8.07
20220222	2000	1300	8.42
20220222	2100	1760	8.93
20220222	2200	2360	9.55
20220222	2300	2790	9.95
20220223	0000	3030	10.17
20220223	0100	3160	10.28
20220223	0200	3220	10.33
20220223	0300	3240	10.35
20220223	0400	3230	10.34
20220223	0500	3170	10.29
20220223	0600	3100	10.23
20220223	0700	3040	10.18
20220223	0800	2990	10.13
20220223	0900	2940	10.09
20220223	1000	2910	10.06
20220223	1100	2830	9.99
20220223	1200	2810	9.97
20220223	1300	2790	9.95
20220223	1400	2750	9.92
20220223	1500	2780	9.94
20220223	1600	2790	9.95
20220223	1700	2800	9.96
20220223	1800	2800	9.96
20220223	1900	2760	9.93
20220223	2000	2720	9.89
20220223	2100	2670	9.84
20220223	2200	2570	9.75
20220223	2300	2480	9.66
20220224	0000	2370	9.56
20220224	0100	2270	9.46
20220224	0200	2190	9.37
20220224	0300	2100	9.28
20220224	0400	2010	9.19
20220224	0500	1930	9.11
20220224	0600	1870	9.05
20220224	0700	1800	8.97
20220224	0800	1730	8.90
20220224	0900	1660	8.83
20220224	1000	1610	8.77
20220224	1100	1560	8.72
20220224	1200	1510	8.67
20220224	1300	1480	8.63
20220224	1400	1430	8.58
20220224	1500	1410	8.55
20220224	1600	1380	8.52
20220224	1700	1360	8.49
20220224	1800	1340	8.47
20220224	1900	1320	8.44
20220224	2000	1290	8.41
20220224	2100	1270	8.38
20220224	2200	1240	8.35
20220224	2300	1210	8.31
20220225	0000	1190	8.28
20220225	0100	1160	8.25
20220225	0200	1150	8.23
20220225	0300	1130	8.21
20220225	0400	1130	8.21
20220225	0500	1120	8.20
20220225	0600	1120	8.20
20220225	0700	1110	8.18
20220225	0800	1090	8.16
20220225	0900	1070	8.13
20220225	1000	1050	8.10
20220225	1100	1030	8.08
20220225	1200	1010	8.05
20220225	1300	997	8.03
20220225	1400	989	8.02
20220225	1500	974	8.00
20220225	1600	967	7.99
20220225	1700	960	7.98
20220225	1800	960	7.98
20220225	1900	952	7.97
20220225	2000	938	7.95
20220225	2100	931	7.94
20220225	2200	916	7.92
20220225	2300	895	7.89
20220226	0000	881	7.87
20220226	0100	867	7.85
20220226	0200	853	7.83
20220226	0300	839	7.81
20220226	0400	819	7.78
20220226	0500	799	7.75
20220226	0600	786	7.73
20220226	0700	773	7.71
20220226	0800	760	7.69
20220226	0900	747	7.67
20220226	1000	734	7.65
20220226	1100	722	7.63
20220226	1200	709	7.61
20220226	1300	703	7.60
20220226	1400	703	7.60
20220226	1500	697	7.59
20220226	1600	697	7.59
20220226	1700	691	7.58
20220226	1800	685	7.57
20220226	1900	685	7.57
20220226	2000	691	7.58
20220226	2100	685	7.57
20220226	2200	679	7.56
20220226	2300	673	7.55
20220227	0000	667	7.54
20220227	0100	649	7.51
20220227	0200	643	7.50
20220227	0300	631	7.48
20220227	0400	625	7.47
20220227	0500	614	7.45
20220227	0600	602	7.43
20220227	0700	591	7.41
20220227	0800	574	7.38
20220227	0900	563	7.36
20220227	1000	558	7.35
20220227	1100	542	7.32
20220227	1200	536	7.31
20220227	1300	542	7.32
20220227	1400	547	7.33
20220227	1500	563	7.36
20220227	1600	569	7.37
20220227	1700	574	7.38
20220227	1800	586	7.40
20220227	1900	608	7.44
20220227	2000	625	7.47
20220227	2100	643	7.50
20220227	2200	649	7.51
20220227	2300	643	7.50
20220228	0000	637	7.49
20220228	0100	625	7.47
20220228	0200	620	7.46
20220228	0300	614	7.45
20220228	0400	597	7.42
20220228	0500	586	7.40
20220228	0600	569	7.37
20220228	0700	558	7.35
20220228	0800	542	7.32
20220228	0900	521	7.28
20220228	1000	505	7.25
20220228	1100	500	7.24
20220228	1200	485	7.21
20220228	1300	485	7.21
20220228	1400	480	7.20
